YEAR,STATE_NAME,COMMODITY_DESC,STATISTICCAT_DESC,UNIT_DESC,total_value
1997,LOUISIANA,CHICKENS,SALES,OPERATIONS,93
1997,MAINE,CHICKENS,SALES,HEAD,773
1997,MAINE,CHICKENS,SALES,OPERATIONS,18
1997,MARYLAND,CHICKENS,SALES,HEAD,203
1997,MARYLAND,CHICKENS,SALES,OPERATIONS,218
1997,MASSACHUSETTS,CHICKENS,SALES,HEAD,1145
1997,MASSACHUSETTS,CHICKENS,SALES,OPERATIONS,22
1997,MICHIGAN,CHICKENS,SALES,HEAD,510
1997,MICHIGAN,CHICKENS,SALES,OPERATIONS,113
1997,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2
1997,MINNESOTA,CHICKENS,SALES,HEAD,704
1997,MINNESOTA,CHICKENS,SALES,OPERATIONS,98
1997,MISSISSIPPI,CHICKENS,SALES,HEAD,310
1997,MISSISSIPPI,CHICKENS,SALES,OPERATIONS,721
1997,MISSOURI,CHICKENS,SALES,HEAD,2683
1997,MISSOURI,CHICKENS,SALES,OPERATIONS,192
1997,MONTANA,CHICKENS,SALES,HEAD,18
1997,MONTANA,CHICKENS,SALES,OPERATIONS,102
1997,NEBRASKA,CHICKENS,SALES,HEAD,302
1997,NEBRASKA,CHICKENS,SALES,OPERATIONS,131
1997,NEVADA,CHICKENS,SALES,OPERATIONS,19
1997,"NEW HAMPSHIRE",CHICKENS,SALES,HEAD,140
1997,"NEW HAMPSHIRE",CHICKENS,SALES,OPERATIONS,12
1997,"NEW JERSEY",CHICKENS,SALES,HEAD,990
1997,"NEW JERSEY",CHICKENS,SALES,OPERATIONS,85
1997,"NEW MEXICO",CHICKENS,SALES,HEAD,105
1997,"NEW MEXICO",CHICKENS,SALES,OPERATIONS,8
1997,"NEW YORK",CHICKENS,SALES,HEAD,1307
1997,"NEW YORK",CHICKENS,SALES,OPERATIONS,64
1997,"NORTH CAROLINA",CHICKENS,SALES,HEAD,2219
1997,"NORTH CAROLINA",CHICKENS,SALES,OPERATIONS,411
1997,"NORTH DAKOTA",CHICKENS,SALES,OPERATIONS,8
1997,OHIO,CHICKENS,SALES,HEAD,2483
1997,OHIO,CHICKENS,SALES,OPERATIONS,208
1997,OKLAHOMA,CHICKENS,SALES,HEAD,2330
1997,OKLAHOMA,CHICKENS,SALES,OPERATIONS,26
1997,OREGON,CHICKENS,SALES,HEAD,3
1997,OREGON,CHICKENS,SALES,OPERATIONS,49
1997,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,84
1997,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,44
1997,PENNSYLVANIA,CHICKENS,SALES,HEAD,2090
1997,PENNSYLVANIA,CHICKENS,SALES,OPERATIONS,658
1997,"RHODE ISLAND",CHICKENS,SALES,HEAD,203
1997,"RHODE ISLAND",CHICKENS,SALES,OPERATIONS,10
1997,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,1
1997,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,2
1997,"SOUTH CAROLINA",CHICKENS,SALES,HEAD,1531
1997,"SOUTH CAROLINA",CHICKENS,SALES,OPERATIONS,174
1997,"SOUTH DAKOTA",CHICKENS,SALES,HEAD,1008
1997,"SOUTH DAKOTA",CHICKENS,SALES,OPERATIONS,87
1997,TENNESSEE,CHICKENS,SALES,HEAD,216
1997,TENNESSEE,CHICKENS,SALES,OPERATIONS,168
1997,TEXAS,CHICKENS,SALES,HEAD,3966
1997,TEXAS,CHICKENS,SALES,OPERATIONS,487
1997,"US TOTAL",CHICKENS,PRODUCTION,LB,26
1997,"US TOTAL",CHICKENS,SALES,HEAD,1111
1997,"US TOTAL",CHICKENS,SALES,OPERATIONS,199
1997,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,7
1997,UTAH,CHICKENS,SALES,HEAD,1
1997,UTAH,CHICKENS,SALES,OPERATIONS,29
1997,VERMONT,CHICKENS,SALES,HEAD,270
1997,VERMONT,CHICKENS,SALES,OPERATIONS,21
1997,VIRGINIA,CHICKENS,SALES,HEAD,1009
1997,VIRGINIA,CHICKENS,SALES,OPERATIONS,193
1997,WASHINGTON,CHICKENS,SALES,HEAD,306
1997,WASHINGTON,CHICKENS,SALES,OPERATIONS,46
1997,"WEST VIRGINIA",CHICKENS,SALES,HEAD,110
1997,"WEST VIRGINIA",CHICKENS,SALES,OPERATIONS,80
1997,WISCONSIN,CHICKENS,SALES,HEAD,572
1997,WISCONSIN,CHICKENS,SALES,OPERATIONS,116
1997,WYOMING,CHICKENS,SALES,HEAD,79
1997,WYOMING,CHICKENS,SALES,OPERATIONS,17
1998,ALABAMA,CHICKENS,PRODUCTION,HEAD,2
1998,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2
1998,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",261
1998,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,954
1998,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,2
1998,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,425
1998,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,28
1998,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",267
1998,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","PCT OF SLAUGHTER",1.79
1999,ALABAMA,CHICKENS,PRODUCTION,HEAD,99
1999,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",255
1999,"NORTH CAROLINA",CHICKENS,PLACEMENTS,HEAD,715
1999,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,2484
1999,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,13
1999,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,46
1999,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",678
1999,"US TOTAL",CHICKENS,PRODUCTION,LB,27
1999,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,175
1999,"US TOTAL",CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.99
2000,,CHICKENS,"EGGS SET",EGGS,570
2000,ALABAMA,CHICKENS,PRODUCTION,HEAD,461
2000,DELAWARE,CHICKENS,"EGGS SET",EGGS,214
2000,GEORGIA,CHICKENS,"EGGS SET",EGGS,1
2000,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",259
2000,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,84
2000,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,4
2000,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,68
2000,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",491
2000,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,165
2001,,CHICKENS,"EGGS SET",EGGS,582
2001,ARKANSAS,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,456
2001,ARKANSAS,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,61
2001,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, OTHER REASONS",HEAD,188
2001,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, OTHER REASONS",HEAD,293
2001,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,1
2001,FLORIDA,CHICKENS,"CONDEMNED, POST-MORTEM, ALL CAUSES",HEAD,867
2001,FLORIDA,CHICKENS,PLACEMENTS,HEAD,120
2001,INDIANA,CHICKENS,"CONDEMNED, POST-MORTEM, OTHER REASONS",HEAD,94
2001,INDIANA,CHICKENS,"CONDEMNED, POST-MORTEM, TUMORS",HEAD,2
2001,LOUISIANA,CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,248
2001,MARYLAND,CHICKENS,"CONDEMNED, POST-MORTEM, BRUISES",HEAD,23
2001,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,528
2001,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",260
2001,MISSISSIPPI,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,11
2001,MISSOURI,CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,562
2001,"NEW JERSEY",CHICKENS,"CONDEMNED, POST-MORTEM, ALL CAUSES",HEAD,108
2001,"NEW YORK",CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,2
2001,"NORTH CAROLINA",CHICKENS,PRODUCTION,LB,3
2001,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,268
2001,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,40
2001,"SOUTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,342
2001,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,705
2001,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,4
2001,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",455
2001,TEXAS,CHICKENS,"CONDEMNED, POST-MORTEM, SYNOVITIS",HEAD,7
2001,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",22
2001,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,45
2001,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, ALL CAUSES",HEAD,6
2001,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, LEUKOSIS",HEAD,75
2001,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,627
2001,"US TOTAL",CHICKENS,PRODUCTION,LB,31
2002,,CHICKENS,"EGGS SET",EGGS,11
2002,ALABAMA,CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",46
2002,ALABAMA,CHICKENS,PRODUCTION,HEAD,223
2002,ALABAMA,CHICKENS,PRODUCTION,LB,3
2002,ALABAMA,CHICKENS,PRODUCTION,OPERATIONS,92
2002,ALABAMA,CHICKENS,SALES,HEAD,1307
2002,ALABAMA,CHICKENS,SALES,OPERATIONS,399
2002,ALASKA,CHICKENS,SALES,OPERATIONS,19
2002,ARIZONA,CHICKENS,SALES,HEAD,339
2002,ARIZONA,CHICKENS,SALES,OPERATIONS,84
2002,ARKANSAS,CHICKENS,PRODUCTION,HEAD,18
2002,ARKANSAS,CHICKENS,PRODUCTION,LB,4
2002,ARKANSAS,CHICKENS,PRODUCTION,OPERATIONS,162
2002,ARKANSAS,CHICKENS,SALES,HEAD,2165
2002,ARKANSAS,CHICKENS,SALES,OPERATIONS,768
2002,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,61
2002,CALIFORNIA,CHICKENS,PRODUCTION,OPERATIONS,4
2002,CALIFORNIA,CHICKENS,SALES,HEAD,2239
2002,CALIFORNIA,CHICKENS,SALES,OPERATIONS,514
2002,COLORADO,CHICKENS,SALES,HEAD,812
2002,COLORADO,CHICKENS,SALES,OPERATIONS,59
2002,CONNECTICUT,CHICKENS,SALES,HEAD,49
2002,CONNECTICUT,CHICKENS,SALES,OPERATIONS,31
2002,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,377
2002,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,124
2002,DELAWARE,CHICKENS,SALES,HEAD,45
2002,DELAWARE,CHICKENS,SALES,OPERATIONS,870
2002,FLORIDA,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,42
2002,FLORIDA,CHICKENS,SALES,HEAD,851
2002,FLORIDA,CHICKENS,SALES,OPERATIONS,94
2002,GEORGIA,CHICKENS,PRODUCTION,HEAD,441
2002,GEORGIA,CHICKENS,PRODUCTION,OPERATIONS,138
2002,GEORGIA,CHICKENS,SALES,HEAD,2312
2002,GEORGIA,CHICKENS,SALES,OPERATIONS,1481
2002,HAWAII,CHICKENS,SALES,OPERATIONS,21
2002,IDAHO,CHICKENS,SALES,HEAD,282
2002,IDAHO,CHICKENS,SALES,OPERATIONS,48
2002,ILLINOIS,CHICKENS,SALES,HEAD,1305
2002,ILLINOIS,CHICKENS,SALES,OPERATIONS,76
2002,INDIANA,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,2
2002,INDIANA,CHICKENS,SALES,HEAD,636
2002,INDIANA,CHICKENS,SALES,OPERATIONS,140
2002,IOWA,CHICKENS,PRODUCTION,OPERATIONS,15
2002,IOWA,CHICKENS,SALES,HEAD,2582
2002,IOWA,CHICKENS,SALES,OPERATIONS,421
2002,KANSAS,CHICKENS,SALES,HEAD,1415
2002,KANSAS,CHICKENS,SALES,OPERATIONS,241
2002,KENTUCKY,CHICKENS,PRODUCTION,HEAD,556
2002,KENTUCKY,CHICKENS,PRODUCTION,OPERATIONS,534
2002,KENTUCKY,CHICKENS,SALES,HEAD,806
2002,KENTUCKY,CHICKENS,SALES,OPERATIONS,328
2002,KENTUCKY,CHICKENS,SLAUGHTERED,HEAD,250
2002,LOUISIANA,CHICKENS,PRODUCTION,HEAD,3
2002,LOUISIANA,CHICKENS,PRODUCTION,LB,643
2002,LOUISIANA,CHICKENS,PRODUCTION,OPERATIONS,19
2002,LOUISIANA,CHICKENS,SALES,HEAD,1424
2002,LOUISIANA,CHICKENS,SALES,OPERATIONS,194
2002,MAINE,CHICKENS,SALES,HEAD,978
2002,MAINE,CHICKENS,SALES,OPERATIONS,76
2002,MARYLAND,CHICKENS,PRODUCTION,HEAD,8
2002,MARYLAND,CHICKENS,PRODUCTION,OPERATIONS,1
2002,MARYLAND,CHICKENS,SALES,HEAD,189
2002,MARYLAND,CHICKENS,SALES,OPERATIONS,1161
2002,MASSACHUSETTS,CHICKENS,SALES,HEAD,1066
2002,MASSACHUSETTS,CHICKENS,SALES,OPERATIONS,241
2002,MICHIGAN,CHICKENS,PRODUCTION,OPERATIONS,1
2002,MICHIGAN,CHICKENS,SALES,HEAD,3374
2002,MICHIGAN,CHICKENS,SALES,OPERATIONS,238
2002,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1
2002,MINNESOTA,CHICKENS,PRODUCTION,HEAD,298
2002,MINNESOTA,CHICKENS,SALES,HEAD,2116
2002,MINNESOTA,CHICKENS,SALES,OPERATIONS,247
2002,MISSISSIPPI,CHICKENS,PRODUCTION,HEAD,1217
2002,MISSISSIPPI,CHICKENS,PRODUCTION,OPERATIONS,24
2002,MISSISSIPPI,CHICKENS,SALES,HEAD,1077
2002,MISSISSIPPI,CHICKENS,SALES,OPERATIONS,151
2002,MISSOURI,CHICKENS,PRODUCTION,HEAD,290
2002,MISSOURI,CHICKENS,PRODUCTION,OPERATIONS,1
2002,MISSOURI,CHICKENS,SALES,HEAD,2426
2002,MISSOURI,CHICKENS,SALES,OPERATIONS,357
2002,MONTANA,CHICKENS,SALES,HEAD,973
2002,MONTANA,CHICKENS,SALES,OPERATIONS,34
2002,NEBRASKA,CHICKENS,PRODUCTION,OPERATIONS,10
2002,NEBRASKA,CHICKENS,SALES,HEAD,1102
2002,NEBRASKA,CHICKENS,SALES,OPERATIONS,114
2002,NEVADA,CHICKENS,SALES,HEAD,43
2002,NEVADA,CHICKENS,SALES,OPERATIONS,11
2002,"NEW HAMPSHIRE",CHICKENS,SALES,HEAD,30
2002,"NEW HAMPSHIRE",CHICKENS,SALES,OPERATIONS,13
2002,"NEW JERSEY",CHICKENS,SALES,HEAD,1137
2002,"NEW JERSEY",CHICKENS,SALES,OPERATIONS,48
2002,"NEW MEXICO",CHICKENS,SALES,HEAD,311
2002,"NEW MEXICO",CHICKENS,SALES,OPERATIONS,85
2002,"NEW YORK",CHICKENS,PRODUCTION,HEAD,973
2002,"NEW YORK",CHICKENS,SALES,HEAD,2417
2002,"NEW YORK",CHICKENS,SALES,OPERATIONS,968
2002,"NORTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, OTHER REASONS",HEAD,737
2002,"NORTH CAROLINA",CHICKENS,PRODUCTION,HEAD,1139
2002,"NORTH CAROLINA",CHICKENS,PRODUCTION,OPERATIONS,53
2002,"NORTH CAROLINA",CHICKENS,SALES,HEAD,3303
2002,"NORTH CAROLINA",CHICKENS,SALES,OPERATIONS,1035
2002,"NORTH DAKOTA",CHICKENS,SALES,HEAD,318
2002,"NORTH DAKOTA",CHICKENS,SALES,OPERATIONS,24
2002,OHIO,CHICKENS,PRODUCTION,HEAD,2
2002,OHIO,CHICKENS,PRODUCTION,OPERATIONS,35
2002,OHIO,CHICKENS,SALES,HEAD,2408
2002,OHIO,CHICKENS,SALES,OPERATIONS,200
2002,OKLAHOMA,CHICKENS,SALES,HEAD,3089
2002,OKLAHOMA,CHICKENS,SALES,OPERATIONS,180
2002,OREGON,CHICKENS,PRODUCTION,HEAD,6
2002,OREGON,CHICKENS,PRODUCTION,OPERATIONS,7
2002,OREGON,CHICKENS,SALES,HEAD,362
2002,OREGON,CHICKENS,SALES,OPERATIONS,228
2002,"OTHER STATES",CHICKENS,"CONDEMNED, POST-MORTEM, LEUKOSIS",HEAD,90
2002,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1026
2002,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,895
2002,PENNSYLVANIA,CHICKENS,PRODUCTION,OPERATIONS,6
2002,PENNSYLVANIA,CHICKENS,SALES,HEAD,1247
2002,PENNSYLVANIA,CHICKENS,SALES,OPERATIONS,348
2002,"RHODE ISLAND",CHICKENS,SALES,OPERATIONS,42
2002,"SOUTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,272
2002,"SOUTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,30
2002,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,28
2002,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,536
2002,"SOUTH CAROLINA",CHICKENS,PRODUCTION,OPERATIONS,2
2002,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",738
2002,"SOUTH CAROLINA",CHICKENS,SALES,HEAD,866
2002,"SOUTH CAROLINA",CHICKENS,SALES,OPERATIONS,82
2002,"SOUTH DAKOTA",CHICKENS,SALES,HEAD,115
2002,"SOUTH DAKOTA",CHICKENS,SALES,OPERATIONS,44
2002,TENNESSEE,CHICKENS,PRODUCTION,OPERATIONS,9
2002,TENNESSEE,CHICKENS,SALES,HEAD,2017
2002,TENNESSEE,CHICKENS,SALES,OPERATIONS,480
2002,TEXAS,CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,1
2002,TEXAS,CHICKENS,"CONDEMNED, POST-MORTEM, SYNOVITIS",HEAD,3
2002,TEXAS,CHICKENS,PRODUCTION,HEAD,149
2002,TEXAS,CHICKENS,PRODUCTION,OPERATIONS,11
2002,TEXAS,CHICKENS,SALES,HEAD,7020
2002,TEXAS,CHICKENS,SALES,OPERATIONS,458
2002,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","PCT OF SLAUGHTER",0.41
2002,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",8.09
2002,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, BRUISES",HEAD,223
2002,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,1
2002,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,68
2002,"US TOTAL",CHICKENS,PRODUCTION,HEAD,118
2002,"US TOTAL",CHICKENS,SALES,HEAD,1
2002,"US TOTAL",CHICKENS,SALES,OPERATIONS,584
2002,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,96
2002,UTAH,CHICKENS,SALES,HEAD,1015
2002,UTAH,CHICKENS,SALES,OPERATIONS,31
2002,VERMONT,CHICKENS,SALES,HEAD,227
2002,VERMONT,CHICKENS,SALES,OPERATIONS,32
2002,VIRGINIA,CHICKENS,"CONDEMNED, POST-MORTEM, SYNOVITIS",HEAD,541
2002,VIRGINIA,CHICKENS,PRODUCTION,HEAD,184
2002,VIRGINIA,CHICKENS,PRODUCTION,OPERATIONS,57
2002,VIRGINIA,CHICKENS,SALES,HEAD,1766
2002,VIRGINIA,CHICKENS,SALES,OPERATIONS,743
2002,VIRGINIA,CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.87
2002,WASHINGTON,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,10
2002,WASHINGTON,CHICKENS,PRODUCTION,OPERATIONS,58
2002,WASHINGTON,CHICKENS,SALES,HEAD,1875
2002,WASHINGTON,CHICKENS,SALES,OPERATIONS,119
2002,"WEST VIRGINIA",CHICKENS,PRODUCTION,HEAD,88
2002,"WEST VIRGINIA",CHICKENS,PRODUCTION,OPERATIONS,72
2002,"WEST VIRGINIA",CHICKENS,SALES,HEAD,1788
2002,"WEST VIRGINIA",CHICKENS,SALES,OPERATIONS,124
2002,WISCONSIN,CHICKENS,PRODUCTION,OPERATIONS,40
2002,WISCONSIN,CHICKENS,SALES,HEAD,774
2002,WISCONSIN,CHICKENS,SALES,OPERATIONS,327
2002,WYOMING,CHICKENS,SALES,HEAD,743
2002,WYOMING,CHICKENS,SALES,OPERATIONS,15
2003,ALABAMA,CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,1
2003,ALABAMA,CHICKENS,"PRICE RECEIVED","$ / LB",0.068
2003,ALABAMA,CHICKENS,PRODUCTION,HEAD,146
2003,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,75
2003,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,21
2003,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, SYNOVITIS",HEAD,5
2003,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, ALL CAUSES",HEAD,2
2003,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, BRUISES",HEAD,29
2003,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,198
2003,GEORGIA,CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,1
2003,KENTUCKY,CHICKENS,"CONDEMNED, POST-MORTEM, SYNOVITIS",HEAD,556
2003,KENTUCKY,CHICKENS,"PRICE RECEIVED","$ / LB",0.34
2003,MARYLAND,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,28
2003,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,7
2003,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",528
2003,MISSISSIPPI,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,200
2003,MISSOURI,CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",13
2003,MISSOURI,CHICKENS,"PRICE RECEIVED","$ / LB",0.047
2003,MISSOURI,CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.71
2003,"NEW HAMPSHIRE",CHICKENS,"PRICE RECEIVED","$ / LB",0.024
2003,OHIO,CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",3
2003,OHIO,CHICKENS,"CONDEMNED, POST-MORTEM, LEUKOSIS",HEAD,12
2003,OHIO,CHICKENS,"CONDEMNED, POST-MORTEM, OTHER REASONS",HEAD,105
2003,OHIO,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,2
2003,"OTHER STATES",CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,44
2003,PENNSYLVANIA,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,3
2003,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,8
2003,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,2
2003,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,339
2003,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,34
2003,TENNESSEE,CHICKENS,"CONDEMNED, POST-MORTEM, BRUISES",HEAD,11
2003,TENNESSEE,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,121
2003,TENNESSEE,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,48
2003,TEXAS,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,97
2003,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",183
2003,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, ALL CAUSES",HEAD,14
2003,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,521
2003,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,575
2003,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM, SEPTICAEMIA",HEAD,3
2003,VIRGINIA,CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.92
2003,WASHINGTON,CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",3
2003,WASHINGTON,CHICKENS,SLAUGHTERED,HEAD,56
2004,ARKANSAS,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,270
2004,ARKANSAS,CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,370
2004,ARKANSAS,CHICKENS,"PRICE RECEIVED","$ / LB",0.096
2004,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, CADAVER",HEAD,77
2004,CALIFORNIA,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,24
2004,DELAWARE,CHICKENS,"CONDEMNED, POST-MORTEM, TUMORS",HEAD,68
2004,FLORIDA,CHICKENS,"CONDEMNED, POST-MORTEM, OVERSCALD",HEAD,5
2004,KENTUCKY,CHICKENS,"EGGS SET",EGGS,359
2004,LOUISIANA,CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",0.57
2004,MARYLAND,CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.99
2004,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,288
2004,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",280
2004,MISSISSIPPI,CHICKENS,"CONDEMNED, POST-MORTEM, AIRSACCULITIS",HEAD,382
2004,MISSISSIPPI,CHICKENS,"PRICE RECEIVED","$ / LB",0.087
2004,"NEW YORK",CHICKENS,"CONDEMNED, POST-MORTEM, CONTAMINATION",HEAD,31
2004,OHIO,CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",1.43
2004,OHIO,CHICKENS,"PRICE RECEIVED","$ / LB",0.001
2004,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,6
2004,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,554
2004,PENNSYLVANIA,CHICKENS,SLAUGHTERED,HEAD,115
2004,"SOUTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, BRUISES",HEAD,7
2004,"SOUTH CAROLINA",CHICKENS,"CONDEMNED, POST-MORTEM, TUMORS",HEAD,11
2004,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,34
2004,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,213
